Configuration,Greedy,Number of nodes,Requests per node,IRD parameter (milliseconds),CSET parameter (milliseconds),Requests satisfied,Network active time (seconds),Network throughput (requests per second),Messages sent,Average response time (milliseconds),Mean messages,Mean average response time,Mean throughput
config_binary31_16_16_10.txt,TRUE,31,10,16,16,310,16,19,348,941,,,
config_binary31_16_16_10.txt,TRUE,31,10,16,16,310,16,19,348,966,347.3333333,947,19
config_binary31_16_33_10.txt,TRUE,31,10,16,33,310,20,15,400,1390,,,
config_binary31_16_33_10.txt,TRUE,31,10,16,33,310,21,14,436,1465,,,
config_binary31_16_33_10.txt,TRUE,31,10,16,33,310,20,15,408,1370,414.6666667,1408.333333,14.66666667
config_binary31_16_50_10.txt,TRUE,31,10,16,50,310,24,12,430,1734,,,
config_binary31_16_50_10.txt,TRUE,31,10,16,50,310,24,12,480,1848,,,
config_binary31_16_50_10.txt,TRUE,31,10,16,50,310,24,12,434,1791,448,1791,12
config_binary31_16_66_10.txt,TRUE,31,10,16,66,310,27,11,500,2121,,,
config_binary31_16_66_10.txt,TRUE,31,10,16,66,310,30,10,480,2352,,,
config_binary31_16_66_10.txt,TRUE,31,10,16,66,310,30,10,468,2342,482.6666667,2271.666667,10.33333333
config_binary31_16_83_10.txt,TRUE,31,10,16,83,310,34,9,536,2787,,,
config_binary31_16_83_10.txt,TRUE,31,10,16,83,310,31,10,532,2534,,,
config_binary31_16_83_10.txt,TRUE,31,10,16,83,310,35,8,552,2798,540,2706.333333,9
config_binary31_33_100_10.txt,TRUE,31,10,33,100,310,38,8,640,2990,,,
config_binary31_33_100_10.txt,TRUE,31,10,33,100,310,42,7,700,3275,,,
config_binary31_33_100_10.txt,TRUE,31,10,33,100,310,40,7,608,3187,649.3333333,3150.666667,7.333333333
config_binary31_33_16_10.txt,TRUE,31,10,33,16,310,17,18,422,1141,,,
config_binary31_33_16_10.txt,TRUE,31,10,33,16,310,18,17,414,1175,,,
config_binary31_33_16_10.txt,TRUE,31,10,33,16,310,17,18,420,1149,418.6666667,1155,17.66666667
config_binary31_33_33_10.txt,TRUE,31,10,33,33,310,22,14,424,1568,,,
config_binary31_33_33_10.txt,TRUE,31,10,33,33,310,22,14,448,1644,,,
config_binary31_33_33_10.txt,TRUE,31,10,33,33,310,22,14,436,1577,436,1596.333333,14
config_binary31_33_50_10.txt,TRUE,31,10,33,50,310,26,11,536,1978,,,
config_binary31_33_50_10.txt,TRUE,31,10,33,50,310,26,11,496,1938,,,
config_binary31_33_50_10.txt,TRUE,31,10,33,50,310,27,11,544,2053,525.3333333,1989.666667,11
config_binary31_33_66_10.txt,TRUE,31,10,33,66,310,31,10,560,2450,,,
config_binary31_33_66_10.txt,TRUE,31,10,33,66,310,28,11,516,2151,,,
config_binary31_33_66_10.txt,TRUE,31,10,33,66,310,31,10,536,2504,537.3333333,2368.333333,10.33333333
config_binary31_33_83_10.txt,TRUE,31,10,33,83,310,37,8,636,2979,,,
config_binary31_33_83_10.txt,TRUE,31,10,33,83,310,34,9,580,2753,,,
config_binary31_33_83_10.txt,TRUE,31,10,33,83,310,33,9,572,2618,596,2783.333333,8.666666667
config_binary31_50_100_10.txt,TRUE,31,10,50,100,310,42,7,672,3336,,,
config_binary31_50_100_10.txt,TRUE,31,10,50,100,310,38,8,652,3057,,,
config_binary31_50_100_10.txt,TRUE,31,10,50,100,310,42,7,656,3433,660,3275.333333,7.333333333
config_binary31_50_16_10.txt,TRUE,31,10,50,16,310,18,17,432,1171,,,
config_binary31_50_16_10.txt,TRUE,31,10,50,16,310,19,16,468,1288,,,
config_binary31_50_16_10.txt,TRUE,31,10,50,16,310,19,16,452,1263,450.6666667,1240.666667,16.33333333
config_binary31_50_33_10.txt,TRUE,31,10,50,33,310,23,13,524,1699,,,
config_binary31_50_33_10.txt,TRUE,31,10,50,33,310,22,14,496,1621,,,
config_binary31_50_33_10.txt,TRUE,31,10,50,33,310,22,14,508,1620,509.3333333,1646.666667,13.66666667
config_binary31_50_50_10.txt,TRUE,31,10,50,50,310,27,11,544,2045,,,
config_binary31_50_50_10.txt,TRUE,31,10,50,50,310,26,11,544,1934,,,
config_binary31_50_50_10.txt,TRUE,31,10,50,50,310,26,11,576,1997,554.6666667,1992,11
config_binary31_50_66_10.txt,TRUE,31,10,50,66,310,33,9,668,2563,,,
config_binary31_50_66_10.txt,TRUE,31,10,50,66,310,31,10,548,2461,,,
config_binary31_50_66_10.txt,TRUE,31,10,50,66,310,31,10,596,2434,604,2486,9.666666667
config_binary31_50_83_10.txt,TRUE,31,10,50,83,310,34,9,672,2642,,,
config_binary31_50_83_10.txt,TRUE,31,10,50,83,310,37,8,680,2861,,,
config_binary31_50_83_10.txt,TRUE,31,10,50,83,310,32,9,596,2508,649.3333333,2670.333333,8.666666667
config_binary31_66_100_10.txt,TRUE,31,10,66,100,310,43,7,720,3424,,,
config_binary31_66_100_10.txt,TRUE,31,10,66,100,310,41,7,788,3169,,,
config_binary31_66_100_10.txt,TRUE,31,10,66,100,310,43,7,744,3329,750.6666667,3307.333333,7
config_binary31_66_16_10.txt,TRUE,31,10,66,16,310,20,15,480,1358,,,
config_binary31_66_16_10.txt,TRUE,31,10,66,16,310,19,16,472,1328,,,
config_binary31_66_16_10.txt,TRUE,31,10,66,16,310,20,15,544,1391,498.6666667,1359,15.33333333
config_binary31_66_33_10.txt,TRUE,31,10,66,33,310,24,12,568,1713,,,
config_binary31_66_33_10.txt,TRUE,31,10,66,33,310,23,13,512,1639,,,
config_binary31_66_33_10.txt,TRUE,31,10,66,33,310,24,12,620,1676,566.6666667,1676,12.33333333
config_binary31_66_50_10.txt,TRUE,31,10,66,50,310,28,11,592,2205,,,
config_binary31_66_50_10.txt,TRUE,31,10,66,50,310,27,11,632,2047,,,
config_binary31_66_50_10.txt,TRUE,31,10,66,50,310,26,11,588,1931,604,2061,11
config_binary31_66_66_10.txt,TRUE,31,10,66,66,310,32,9,636,2545,,,
config_binary31_66_66_10.txt,TRUE,31,10,66,66,310,31,10,664,2408,,,
config_binary31_66_66_10.txt,TRUE,31,10,66,66,310,34,9,664,2648,654.6666667,2533.666667,9.333333333
config_binary31_66_83_10.txt,TRUE,31,10,66,83,310,36,8,700,2749,,,
config_binary31_66_83_10.txt,TRUE,31,10,66,83,310,36,8,720,2721,,,
config_binary31_66_83_10.txt,TRUE,31,10,66,83,310,39,7,736,2926,718.6666667,2798.666667,7.666666667
config_binary31_83_100_10.txt,TRUE,31,10,83,100,310,44,7,784,3289,,,
config_binary31_83_100_10.txt,TRUE,31,10,83,100,310,43,7,756,3355,,,
config_binary31_83_100_10.txt,TRUE,31,10,83,100,310,45,6,788,3374,776,3339.333333,6.666666667
config_binary31_83_16_10.txt,TRUE,31,10,83,16,310,21,14,608,1422,,,
config_binary31_83_16_10.txt,TRUE,31,10,83,16,310,20,15,548,1388,,,
config_binary31_83_16_10.txt,TRUE,31,10,83,16,310,21,14,564,1431,573.3333333,1413.666667,14.33333333
config_binary31_83_33_10.txt,TRUE,31,10,83,33,310,24,12,596,1740,,,
config_binary31_83_33_10.txt,TRUE,31,10,83,33,310,25,12,632,1802,,,
config_binary31_83_33_10.txt,TRUE,31,10,83,33,310,24,12,600,1753,609.3333333,1765,12
config_binary31_83_50_10.txt,TRUE,31,10,83,50,310,29,10,652,2226,,,
config_binary31_83_50_10.txt,TRUE,31,10,83,50,310,29,10,648,2105,,,
config_binary31_83_50_10.txt,TRUE,31,10,83,50,310,28,11,684,2132,661.3333333,2154.333333,10.33333333
config_binary31_83_66_10.txt,TRUE,31,10,83,66,310,33,9,728,2401,,,
config_binary31_83_66_10.txt,TRUE,31,10,83,66,310,34,9,728,2499,,,
config_binary31_83_66_10.txt,TRUE,31,10,83,66,310,31,10,656,2340,704,2413.333333,9.333333333
config_binary31_83_83_10.txt,TRUE,31,10,83,83,310,38,8,748,2927,,,
config_binary31_83_83_10.txt,TRUE,31,10,83,83,310,37,8,752,2826,,,
config_binary31_83_83_10.txt,TRUE,31,10,83,83,310,39,7,796,2904,765.3333333,2885.666667,7.666666667
